Name,Type,Tris,Faces,Edges,Verts,Datablock name,Users,Collection 1,Collection 2,Collection 3
F,MESH,30562,15678,31097,15443,F,1,Body
Gib Base,MESH,30562,15678,31097,15443,F.004,1,Body
Child,MESH,30562,15678,31097,15443,F.022,1,Body
F.001,MESH,30562,15678,31097,15443,F.028,1,Body
Petite,MESH,30562,15678,31097,15443,Petite.001,1,Body
PainHigh02,MESH,30562,15678,31097,15443,PainHigh02,1,Expressions
PainHigh,MESH,30562,15678,31097,15443,PainHigh,1,Expressions
PainMed,MESH,30562,15678,31097,15443,PainMed,1,Expressions
PainLow,MESH,30562,15678,31097,15443,PainLow,1,Expressions
Worried,MESH,30562,15678,31097,15443,Worried,1,Expressions
Happy,MESH,30562,15678,31097,15443,Happy,1,Expressions
Goofy,MESH,30562,15678,31097,15443,Goofy,1,Expressions
Confused,MESH,30562,15678,31097,15443,Confused,1,Expressions
Awkward,MESH,30562,15678,31097,15443,Awkward,1,Expressions
Cocky,MESH,30562,15678,31097,15443,Cocky,1,Expressions
Angry,MESH,30562,15678,31097,15443,Angry,1,Expressions
V-WQ,MESH,30562,15678,31097,15443,WQ,1,Visemes
V-Oh,MESH,30562,15678,31097,15443,Oh,1,Visemes
V-FV,MESH,30562,15678,31097,15443,FV,1,Visemes
V-ThV,MESH,30562,15678,31097,15443,ThV,1,Visemes
V-Ah,MESH,30562,15678,31097,15443,Ah,1,Visemes
V-Ai,MESH,30562,15678,31097,15443,Ai,1,Visemes
V-W,MESH,30562,15678,31097,15443,W,1,Visemes
V-Th,MESH,30562,15678,31097,15443,Th,1,Visemes
V-S,MESH,30562,15678,31097,15443,S,1,Visemes
V-MBP,MESH,30562,15678,31097,15443,MBP,1,Visemes
V-NR,MESH,30562,15678,31097,15443,NR,1,Visemes
V-Ay,MESH,30562,15678,31097,15443,Ay,1,Visemes
V-Sh,MESH,30562,15678,31097,15443,Sh,1,Visemes
V-LKG,MESH,30562,15678,31097,15443,LKG,1,Visemes
V-J,MESH,30562,15678,31097,15443,J,1,Visemes
